Age,Gender,Country,JobRole,YearsAtCompany,WorkHoursPerWeek,RemoteWork,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,SalaryRange,WorkLifeBalanceScore,CareerGrowthScore,BurnoutRisk,SurveyDescription
42,Female,Canada,IT Admin,6,59,Hybrid,5.46,1.47,1.23,7.85,7.6,2.3,114,Yes,1.72,No,4,100K+,4.05,4.17,0,"Working as an IT Admin in a Canadian company has led to elevated levels of burnout and stress, indicating a struggle to maintain a healthy work-life balance. Despite having a hybrid remote work arrangement, the combination of a 59-hour workweek and long commute time of over two hours adds to my overall sense of exhaustion. Fortunately, I have access to manager support, although I wish therapy sessions were available to me, which could further alleviate my mental health concerns."
50,Female,UK,IT Admin,2,46,Hybrid,5.84,1.7,6.94,9.93,7.8,1.4,27,No,5.44,No,7,80K-100K,1.28,2.04,0,"As a 50-year-old IT admin working hybrid hours in the UK, I feel overwhelmed due to the high stress levels (6.94) and severe burnout (5.84) that have become a regular occurrence in my daily work life. My long commutes, lack of adequate sleep (7.8 hours per day), and limited physical activity (1.4 hours) contribute significantly to my poor work-life balance and increased burnout risk. To make matters worse, I feel like my job satisfaction is extremely low (1.7) and I have little to no support from my manager (5.44) or access to mental health resources."
50,Prefer not to say,Brazil,IT Admin,10,38,Yes,2.37,5.02,8.96,9.35,7.6,6.8,102,Yes,3.44,No,6,100K+,3.44,8.2,0,"As an IT Admin, I feel overwhelmed with high stress levels at my job, which affects my overall wellbeing and leads to burnout despite having a supportive manager who understands my limitations. Working from home has its advantages, but with a 38-hour workweek and a long commute, work-life balance is a challenge. Despite my job satisfaction being relatively high, the burnout risk looms over me due to my demanding work schedule and lack of mental health resources."
25,Female,Brazil,IT Admin,15,31,Hybrid,9.03,1.46,9.17,7.61,8.4,4,86,Yes,1.55,No,1,<40K,7.95,4.52,1,"As an IT Admin in Brazil, I often feel overwhelmed by the high stress levels in my role, which contributes to feeling burnt out more than half the time, making it challenging to maintain a healthy work-life balance despite having flexible hybrid remote work options. The long commute time and demanding 31-hour workweek exacerbate my stress and impact my overall productivity, which affects my job satisfaction. Although I have access to mental health support from my manager, the lack of therapy access and limited career growth opportunities further strain my wellbeing, leaving me feeling uncertain about my future within the company."
38,Male,UK,IT Admin,15,59,No,4.21,8.71,3.8,9.83,8.8,0.2,56,No,4.28,No,4,40K-60K,6.77,1.18,0,"As an 38-year-old IT Admin living in the UK, I feel constantly worn down due to the long hours and high stress levels, often leaving me feeling drained and exhausted. Despite my job satisfaction being relatively high, the constant pressure has led to severe burnout and a lack of work-life balance, taking a significant toll on my overall wellbeing. The absence of mental health support, therapy access, and manager support exacerbates my situation, making it difficult for me to cope and recover from its negative effects."
22,Prefer not to say,UK,IT Admin,19,48,Hybrid,9.76,1.27,2.04,3.88,4.5,3.6,105,Yes,6.01,Yes,3,40K-60K,3.28,6.82,1,"As an IT Admin, working 48 hours a week and having a commute time of 105 minutes, I'm consistently exhausted and struggling with high burnout levels, which significantly affect my stress levels and overall job satisfaction. Despite having access to mental health support and a good manager, the long work hours and poor work-life balance leave me feeling drained and demotivated. My productivity and physical activity levels have taken a hit due to my grueling schedule, but the support system in place helps alleviate some stress."
36,Female,UK,Marketing Manager,5,36,No,7.11,3.78,8.71,5.14,7.4,10,82,No,5.66,No,5,100K+,9.88,3.8,1,"As a 36-year-old Marketing Manager in the UK, I'm struggling to cope with the demanding 36-hour workweek and lengthy 82-minute commute, resulting in extreme stress levels that leave me feeling drained. Despite my decent physical activity, I feel burned out most of the time, barely managing to squeeze in 7.4 hours of sleep each night and taking 5 mental health days off in the past period. A complete lack of mental health support and limited access to therapy have left me questioning my job satisfaction and feeling stifled by the lack of career growth opportunities."
44,Prefer not to say,UK,Marketing Manager,6,58,No,2.83,8.05,9.96,3.86,7.7,6.9,48,No,2.56,Yes,4,100K+,8.37,3.16,0,"As a marketing manager in the UK, I feel exhausted and burnt out due to the extremely high stress levels and demanding 58-hour workweek. Despite a relatively good work-life balance and decent manager support, I still struggle with feelings of exhaustion every day, which is compounded by a long 48-minute commute. The pressure of this high-stress job takes a toll on my mental health, and although I have access to therapy, I still need to take four mental health days off annually."
49,Male,Australia,Marketing Manager,5,57,Yes,7.16,4.36,4.32,3.14,4.4,8.3,26,No,2.06,No,8,100K+,7.74,4.3,1,"As a Marketing Manager in Australia, I've been feeling overwhelmed with work pressures, resulting in a substantial burnout level and excessive stress, which have negatively impacted my overall wellbeing. Despite a decent amount of physical activity, lack of support from my manager and no access to therapy have exacerbated the situation, making it challenging to maintain a healthy work-life balance. With a job satisfaction score that's merely average, I often find myself struggling to cope with the high demands of my remote job that takes up more than 55 hours a week."
33,Prefer not to say,Canada,Marketing Manager,7,45,Yes,9.34,1.4,7.83,5.53,6.2,7.1,13,No,3.19,Yes,8,80K-100K,3.64,8.76,1,"As a marketing manager in Canada, I'm consistently struggling to manage my stress levels and feel overwhelmed, which affects my job satisfaction and overall wellbeing. Despite having access to therapy and a supportive manager, I'm unable to find a balance between work and personal life, often leading to burnout. The long commute time and limited physical activity also contribute to my poor wellbeing, making it challenging to maintain a healthy work-life balance and find meaning in my role."
30,Female,India,Marketing Manager,14,54,Yes,2.02,2.84,9.45,3.95,8.7,7.6,22,No,8.46,No,8,40K-60K,2.47,7.04,0,"As a marketing manager in India, I often find myself overwhelmed by the 54 hours I spend at work each week, leading to chronic stress levels that make it difficult to enjoy my days off. Despite having a supportive manager, I haven't been able to achieve a work-life balance and find myself exhausted, both physically and mentally. Unfortunately, I don't have access to mental health support, adding to my sense of isolation and making it harder to cope with the stress of my high-stress job."
34,Prefer not to say,UK,Marketing Manager,7,35,No,6.22,2.98,7.36,8.86,6.2,1.6,32,No,2.44,No,4,100K+,9.74,6.73,0,"As a Marketing Manager in the UK, I'm constantly plagued by high stress levels, which not only affect my job satisfaction but also my overall wellbeing, making it challenging to maintain a good work-life balance despite working 35 hours a week. With only 6.2 hours of sleep each day, I often struggle to cope with the pressure, and it seems like my manager is not providing enough support, leaving me feeling isolated and burnt out. My physical activity level is also concerning, and the lack of access to mental health support makes it difficult for me to recover from the emotional toll of my job."
31,Non-binary,Brazil,Marketing Manager,5,35,Yes,1.33,6.86,5.56,8.72,5.2,1.6,99,Yes,9.96,No,6,<40K,3.07,5.81,0,"As a marketing manager in Brazil, I've come to realize that the constant demands of my role have taken a significant toll on my mental and emotional state. The 35-hour workweek might seem manageable, but with the pressure to perform at a high level, I often find myself feeling burnt out, especially considering my relatively low pay. Despite having the flexibility of remote work, my poor work-life balance is a persistent concern, further exacerbated by long commutes and inadequate sleep."
47,Male,India,Marketing Manager,17,51,No,1.64,2.41,1.56,8.16,8.7,3.2,108,No,7.93,No,9,100K+,9.12,1.37,0,"As a 47-year-old marketing manager in India, I feel deeply burnt out from my long 51-hour workweeks and lack of remote work flexibility, leaving me with barely enough energy to sustain my daily activities despite getting 8.7 hours of sleep. My job satisfaction is at an all-time low due to the relentless stress I experience daily, impacting my overall wellbeing and forcing me to take 9 days off for mental health. Despite having a supportive manager, the absence of mental health support and therapy resources worsens my situation, affecting not only my personal but also my professional growth and productivity."
33,Female,USA,Marketing Manager,4,34,Yes,1.11,1.54,2.67,1.32,6.6,5,90,No,2.65,No,3,<40K,1.92,6.55,0,"As a Marketing Manager in the USA, I've been working remotely for 4 years and have consistently clocked over 30 hours a week, leading to high stress levels that I'm struggling to manage. My poor sleep quality and lack of physical activity are taking a toll on my overall wellbeing, making it challenging to achieve a better work-life balance. Despite my job satisfaction being moderately high, the stress and burnout I'm experiencing are a significant concern that my company needs to address urgently."
28,Prefer not to say,Germany,Marketing Manager,7,46,No,8.81,3.97,8.43,5.27,7.7,6.8,66,No,1.33,Yes,3,60K-80K,2.14,7.77,1,"As a marketing manager in Germany, I often feel overwhelmed and exhausted due to the high stress levels and long work hours, which have resulted in a significant burnout risk. I struggle to achieve a good work-life balance and have noticed a decline in my productivity, likely due to the high pressure I'm under. The lack of support from my manager and limited access to mental health support make me feel unvalued and unsupported, making it challenging for me to cope with my burnout and maintain my overall wellbeing."
56,Female,India,Marketing Manager,6,49,No,1.29,3.28,5.32,3.87,7.8,2.5,18,Yes,7.17,Yes,7,80K-100K,1.77,2.35,0,"As a 56-year-old female Marketing Manager in India, I often feel stressed due to long working hours and excessive workload. Despite having some form of mental health support available, I still experience high levels of burnout, taking 7 mental health days off this year, and my overall wellbeing seems to be suffering. However, having access to therapy and a relatively high income, along with manager support, seems to mitigate my stress levels and contribute to some level of job satisfaction."
37,Male,Germany,Marketing Manager,16,42,Hybrid,6.83,8.38,4.21,7.95,6.5,5.8,47,Yes,9.93,No,4,60K-80K,3.31,3.47,0,"As a 37-year-old Marketing Manager in Germany, I feel consistently drained due to extremely high workload hours and an exhausting 42-hour workweek, which has led to chronic stress levels that have significantly impacted my wellbeing. Despite my decent salary range and supportive manager, the constant pressure and poor work-life balance have taken a toll on my mental health, causing me to prioritize long work hours over my personal well-being and physical fitness. I've reached a burnout risk and have used 4 mental health days off to cope with the stress, highlighting the need for better coping mechanisms and a healthier balance between work and life."
24,Male,USA,Marketing Manager,4,41,Hybrid,1.52,2.27,8.11,8.39,8.4,2.6,100,No,5.92,Yes,1,40K-60K,3.38,1.91,0,"As a Marketing Manager working 41 hours a week in the USA, I feel overwhelmed with extremely high stress levels that severely impact my wellbeing. Despite some support from my manager, I struggle to achieve a good balance between work and life, often sacrificing sleep and physical activity in the process. This burnout risk is evident, as I find myself taking mental health days off and seeking therapy, which has become essential to cope with my stressful work environment."
33,Male,USA,Marketing Manager,17,57,No,1.52,3.62,2.86,3.01,4.3,7.9,65,No,1.06,Yes,9,<40K,6.56,7.79,0,"As a Marketing Manager in the USA, I'm overwhelmed by the stress and pressure to constantly perform, often leaving me exhausted and burnt out at 33 years old after 17 years at the company. My long working hours and grueling commute cause significant strain on my mental and physical health, leading to sleep deprivation and insufficient time for physical activity. With limited support from my managers and an unstable work-life balance, it's a constant struggle to manage my wellbeing and maintain a sense of job satisfaction."
56,Prefer not to say,UK,Marketing Manager,20,48,Yes,2.66,1.63,5.2,7.32,6.2,3.1,85,No,9.18,Yes,6,<40K,4.78,4.37,0,"As a 56-year-old Marketing Manager in the UK, I feel overwhelmed with a high stress level of 5.2, which seems to be affecting my work-life balance despite having a decent 48 hours of work per week. The lack of mental health support, combined with a mere 6.2 hours of sleep each night, makes me worry about my overall wellbeing. Although I have therapy access and a supportive manager, the constant pressure to perform seems to be taking a toll on my mental health, evident from 6 mental health days off and a relatively low job satisfaction score of 1.63."
41,Non-binary,Canada,Project Manager,0,44,Hybrid,3.59,1.59,9.9,1.44,5.2,1.7,14,Yes,1.97,Yes,5,100K+,8.66,5.08,0,"As a non-binary Project Manager in Canada, I often find myself overwhelmed by the high level of stress at work, which makes it challenging to maintain a healthy work-life balance. Despite having access to mental health support and therapy, I've struggled with burnout, taking five days off throughout the year to recharge. While I have a good manager and decent salary, my low job satisfaction and productivity scores make me feel like I'm not living up to my full potential."
27,Prefer not to say,Canada,Project Manager,8,50,No,6.74,3.22,2.55,7.76,4.7,7.4,56,No,7.21,Yes,4,100K+,3.34,6.83,0,"As a 27-year-old project manager in Canada, I feel overwhelmed by the high stress levels and burnout, averaging 6.74 out of 10, which heavily impacts my overall wellbeing. Despite having access to therapy, I'm struggling with inadequate work-life balance, often resulting in just 4.7 hours of sleep and a mere 3.34 out of 10 score on work-life balance. Long work hours of 50 per week and a 56-minute commute time contribute to my high burnout risk and significantly affect my wellbeing."
34,Female,Australia,Project Manager,3,32,Yes,8.65,7.68,4.77,8.13,8.4,6.2,80,Yes,2.35,Yes,9,60K-80K,6.32,9.4,1,"As a female project manager in Australia, it's disheartening to experience high levels of burnout and stress at work, constantly weighing heavily on my overall wellbeing. Despite having access to mental health support and therapy, I'm finding it challenging to achieve a better work-life balance with long commute times and 32 hours of work per week. Feeling exhausted after 8.4 hours of sleep and limited physical activity suggests I'm barely scraping by, with my career growth and job satisfaction being the only rays of hope in my otherwise overwhelming job."
29,Prefer not to say,Australia,Project Manager,17,34,No,7.22,1.8,5.23,5.17,4.1,3.4,69,No,6.71,No,6,40K-60K,8.81,7.31,1,"As a project manager in Australia, I've been consistently feeling extremely burnt out from the intense 34-hour workweeks without a remote option, leading to a significant imbalance in my work and personal life. Despite a supportive manager, I struggle with high stress levels, limited sleep (averaging 4 hours each night) and minimal physical activity due to my exhausting work schedule. However, my manager's support has helped alleviate some stress, but I still need better access to mental health resources to prevent mental health days off, which I've taken six times already."
57,Male,Germany,Project Manager,15,57,No,4.6,5.72,1.45,9.42,7,8.3,43,No,1.14,Yes,6,60K-80K,3.17,4.06,0,"As a 57-year-old German project manager, I often feel overwhelmed by the high stress levels and demanding work schedule that leave me with limited time for myself and proper sleep. The constant long commute time of 43 minutes doesn't allow for a seamless work-life balance, but access to therapy and a decent salary provide a reassuring safety net for times of mental strain. Despite my high burnout risk, a supportive manager and adequate physical activity allow me to maintain productivity, though at the cost of job satisfaction, which is impacted by my long work hours and remote work absence."
45,Male,India,Project Manager,6,43,No,2.21,9.52,5.35,5.61,7.3,5.8,48,Yes,4.9,No,2,60K-80K,5.96,6.73,0,"As a 45-year-old male project manager in India working a demanding 43 hours a week, I often feel exhausted due to moderate stress levels, which can be overwhelming at times. Despite having excellent job satisfaction and access to manager support, I struggle to maintain a healthy work-life balance, often having just 7.3 hours of sleep and 2 mental health days off per month. Overall, my long daily commute and lack of therapy access exacerbate these challenges, leaving me questioning my high stress risk assessment despite my stable career growth and salary range."
49,Male,India,Project Manager,15,37,Hybrid,4.38,4.19,4.16,7.3,4,4.2,20,Yes,1.86,Yes,6,40K-60K,7.77,8.52,0,"As a 49-year-old project manager in India, I often struggle to find a balance between my demanding job and personal life, given my high stress levels and long commute times, which take a toll on my mental and physical wellbeing. Despite having access to therapy and a supportive manager, the pressure to deliver results in my high-stress role often leaves me feeling burnt out, affecting my overall job satisfaction. Although I enjoy a good work-life balance and have a relatively high salary, I wish I could better manage my workload and take more days off for my mental health, but my job requires my constant presence and attention."
29,Prefer not to say,India,Project Manager,18,37,Hybrid,2.32,6.31,7.39,3.08,4.2,5.5,41,No,8.71,Yes,5,100K+,9.8,1.61,0,"As a 29-year-old project manager in India, I feel overwhelmed with high stress levels and a burnout level that's slowly creeping up, affecting my overall wellbeing and causing me to sacrifice my sleep hours, leaving me with only 4.2 hours of daily sleep. Despite a hybrid work arrangement allowing some flexibility, my commute time is long, and the lack of mental health support, coupled with inadequate career growth opportunities, weighs heavily on my mind. However, having access to therapy and an understanding manager provides some comfort, yet it's not enough to offset the burnout and stress I experience in my role."
46,Non-binary,Australia,Project Manager,5,30,No,5.3,7.04,1.17,3.9,7.1,0.1,69,No,2.65,No,5,80K-100K,4.08,2.02,0,"As a 46-year-old non-binary Project Manager in Australia, I'm experiencing high stress levels and a 5.3 BurnoutLevel, which affects my overall wellbeing. I'm struggling to manage my workload, feeling a lack of ManagerSupport and having limited access to support systems, contributing to my current state of burnout. Despite having a decent WorkLifeBalanceScore and SalaryRange, I feel overwhelmed and burnt out, which is impacting my daily life, both physically and mentally."
40,Prefer not to say,Germany,Project Manager,12,31,No,3.57,1.55,2.72,6.88,5.7,5.5,5,No,6.02,No,4,40K-60K,5.74,3.26,0,"As a 40-year-old project manager from Germany, I feel chronically exhausted due to excessively long work hours and the absence of mental health support at work, which further aggravates my high burnout levels and frequent absence due to mental health issues. Unfortunately, my job satisfaction is at a low due to a lack of career growth opportunities, further strained by my 31-hour work week and limited breaks to engage in physical activities. With limited sleep and a high-stress work environment, my overall feeling is one of overwhelming exhaustion, hindered by the lack of support from management and the absence of access to therapy."
53,Female,UK,Project Manager,8,51,No,3.1,2.97,4.17,2.48,6.3,0.2,30,Yes,8.75,Yes,8,40K-60K,7.35,3.22,0,"As a 53-year-old female project manager in the UK, I have been feeling overwhelmed and exhausted from the demanding nature of my job, especially with a 30-minute daily commute and working 51 hours a week, causing a significant increase in my stress levels.

Due to the pressure and long working hours, I have been experiencing high burnout levels, which has negatively impacted my mental health and sleep, averaging only 6.3 hours of sleep per night. However, having access to therapy and excellent support from my manager has been a significant factor in helping me cope with my mental health, allowing me to take 8 mental health days off."
40,Prefer not to say,Canada,Project Manager,0,57,Yes,8.14,9.34,3.69,1.55,5,8.3,54,No,1.65,Yes,8,<40K,2.13,1.16,1,"As a project manager in Canada, consistently working 57 hours a week from home takes a toll on my wellbeing, with high burnout levels and stress that affects my overall job satisfaction and sleep schedule. Despite having access to therapy, I struggle to find a balance between my work and personal life due to a demanding job and lengthy commute. With limited financial compensation, I feel pressured to manage my workload effectively, which often results in feeling overwhelmed and burnt out, negatively impacting my productivity and wellbeing."
24,Prefer not to say,Germany,Project Manager,11,32,Hybrid,9.15,9.07,9.33,3.06,7,2.6,99,No,3.89,Yes,7,<40K,8.07,8.62,1,"As a project manager in Germany, I'm experiencing overwhelming stress levels that significantly affect my daily life, causing me to constantly feel burnt out despite having a decent work-life balance. My meager sleep and moderate physical activity levels are not enough to counteract the strain, and I often find myself sacrificing precious sleep hours to accommodate my demanding work schedule. Despite having access to therapy and an average manager support, the lack of mental health support within the company weighs heavily on me, making it difficult to manage my increasing burnout risk."
25,Non-binary,UK,Project Manager,15,57,Yes,9.59,7.64,2.23,8.64,8.4,3.1,69,No,7.56,No,6,100K+,7.64,7.02,1,"As a project manager at this UK-based company, I often feel overwhelmed due to the high stress levels and excessive burnout that's been lingering for years, which has taken a toll on my physical and mental health. Despite working remotely, the long hours of 57 per week leave me exhausted, and the lack of mental health support at work makes it difficult to cope with burnout. Although my job satisfaction is relatively high, the absence of proper care and resources makes me doubt my ability to maintain the current pace without compromising my wellbeing."
54,Non-binary,Germany,Project Manager,3,42,No,1.16,5.27,7.62,4.08,7.5,5.1,94,No,7.65,No,6,80K-100K,2.92,9.24,0,"As a project manager in Germany, I often feel drained and exhausted due to high stress levels, long work hours, and a grueling commute that's pushing my overall work-life balance to its limits. Despite having a good level of physical activity, getting only 7.5 hours of sleep per night and having to take 6 mental health days off, I'm not feeling the satisfaction and support I need to thrive in my role. With limited support from my manager and no access to therapy, I'm starting to feel the strain of burnout."
24,Non-binary,UK,Sales Associate,2,45,Yes,3.02,2.16,7.98,6.23,6.8,9.3,22,Yes,3.22,Yes,6,80K-100K,5.26,8.53,0,"As a non-binary sales associate in the UK, the constant stress of a demanding job and long commute time of 22 minutes has taken a toll on my overall wellbeing. Despite having access to mental health support and therapy, I find myself feeling burned out and struggling to maintain a balance between work and personal life. The long working hours of 45 per week and limited sleep of 6.8 hours daily contribute to my high burnout risk and poor job satisfaction."
25,Female,UK,Sales Associate,3,43,Yes,5.74,7.74,6.6,6.27,5.6,1.7,24,No,1.13,No,3,100K+,3.18,2.51,0,"As a sales associate working a 43-hour week with limited face-to-face interaction, I often struggle to find a balance between my work and personal life, resulting in high levels of stress and a significant burnout risk. Although I have access to a higher-than-average salary, I feel overwhelmed by the demands of my job and lack of support from my manager and the company for my mental health. The long commute time and inadequate sleep hours further exacerbate my feelings of burnout, making it challenging to maintain a sense of job satisfaction."
40,Non-binary,UK,Sales Associate,6,36,Hybrid,9.59,5.61,5.94,4.96,8.2,3.1,74,No,8.86,No,3,40K-60K,5.8,5.21,1,"As a sales associate in the UK with a hybrid work schedule, I often feel overwhelmed by the demands of my job, which consistently leaves me with high levels of stress and only 3 mental health days off throughout the year. Despite my manager's strong support and fair salary, I struggle to maintain a healthy work-life balance due to my lengthy 36-hour workweek and 74-minute commute. The lack of access to mental health support and therapy further exacerbates my burnout levels, leaving me questioning how much longer I can sustain this pace."
39,Prefer not to say,India,Sales Associate,11,45,Hybrid,4.17,9.48,6.4,7.4,8.6,4.6,58,Yes,1.61,No,7,100K+,1.14,1.97,0,"Despite feeling burnt out with a high stress level, I still manage to have a job satisfaction score of 9.48, which is a testament to my enjoyment of being a Sales Associate for the past 11 years. However, my long commute time and hybrid remote work schedule can sometimes disrupt my work-life balance, leaving me with just 8.6 hours of sleep each day. Overall, my mental health support system is in place, but I lack access to therapy, which might be necessary given my 7 mental health days off in the past."
28,Male,Brazil,Sales Associate,17,34,Yes,9.18,3.1,6.97,9.86,8.5,2.1,113,Yes,1.56,Yes,7,<40K,7.74,1,1,"As a Sales Associate in Brazil working 34 hours a week, I often feel drained and exhausted, with high burnout levels at 9.18 and significant stress affecting my daily life. Despite having access to therapy and mental health support, I struggle to find work-life balance with a long 113-minute commute, resulting in just 8.5 hours of sleep every night. The constant pressure to perform has also taken a toll on my mental health, but I'm grateful to have a supportive manager, albeit with room for improvement."
42,Non-binary,Brazil,Sales Associate,15,47,Yes,2.26,2.69,4.76,8.99,4.6,9.9,87,Yes,7.88,Yes,5,80K-100K,9.6,7.32,0,"As a sales associate in Brazil, I often feel overwhelmed by the demands of my job, especially with 47 work hours per week and a stressful work environment marked by a stress level of 4.76. Despite the long commute of 87 minutes, having access to mental health support and therapy has been a significant stress relief factor for me, allowing me to take some days off for my mental health. While my job satisfaction is moderately high at 2.69, the pressure of sales has contributed to a moderate risk of burnout, but I have learned to balance my work and personal life, scoring a high work-life balance of 9.6."
53,Non-binary,Australia,Sales Associate,20,53,Yes,3.45,3.86,3.94,6.54,4.4,8.4,67,Yes,5.36,Yes,0,80K-100K,1.29,8.47,0,"As an Australian non-binary sales associate working remotely, I often feel overwhelmed with a stress level of 3.94 and a sleep deprivation of 4.4 hours a day, which impacts my overall wellbeing. Despite having access to mental health support and a relatively high manager support score, the demanding work hours and long commute time of 67 minutes take a significant toll on my mental health and wellbeing. However, the prospect of career growth and my job satisfaction of 3.86 may be enough to mitigate the extreme burnout levels of 3.45, but it's a constant struggle."
35,Female,UK,Sales Associate,15,33,No,7.69,2.93,3.26,3.76,5.5,3.5,19,Yes,3.6,No,2,40K-60K,5.15,9.09,1,"As a Sales Associate with 15 years at the company, I often feel overwhelmed due to the long commute times, which add to my high stress levels. Despite having a manageable workload with 33 hours per week, the lack of work-life balance makes me feel like I'm constantly at work, leading to a significant burnout risk that I've experienced. The lack of mental health support outside of work, combined with my unsatisfying job, has caused a notable dip in my overall wellbeing."
47,Female,India,Sales Associate,18,41,Yes,4.33,2.05,7.28,3.52,5.3,6.2,105,No,9.19,No,4,<40K,3.82,5.92,0,"As a 47-year-old Sales Associate in India, I feel overwhelmed by the pressures of my job, with high stress levels constantly weighing me down, making it difficult to enjoy my daily life outside of work. Despite a relatively long tenure of 18 years with the company, I'm struggling to achieve a good work-life balance due to 41 hours of work per week, lengthy commute times, and limited sleep hours, which is taking a toll on my overall wellbeing. With inadequate mental health support, I'm forced to navigate these challenges on my own, making it harder for me to find satisfaction in my job or see a future for my career."
55,Prefer not to say,Canada,Sales Associate,19,55,Yes,7.61,5.72,3.7,1.59,8.7,1.5,70,Yes,6.23,Yes,4,<40K,8.01,1.22,1,"As a seasoned sales associate in Canada, I often feel exhausted from consistently working long hours, 55 per week, which contributes to a significant risk of burnout. Despite having access to mental health support and therapy, and enjoying a good night's sleep, my high stress levels and mediocre job satisfaction make me wonder if my current work-life balance is sustainable. Working from home has helped somewhat, but I still feel an overwhelming pressure to meet performance expectations and worry about my slow career growth and salary prospects."
52,Female,USA,Sales Associate,1,48,Yes,3.54,7.79,4.92,7.14,6,8.7,96,Yes,3.73,No,7,60K-80K,1.21,4.8,0,"As a 52-year-old sales associate working 48 hours a week, I feel overwhelmed with a moderately high stress level of 4.92, which affects my work-life balance, resulting in an extremely poor 1.21 score. The lack of manageable work hours and long commute times of 96 minutes contribute to my overall stress. With minimal manager support and no access to therapy, it's challenging for me to effectively manage my work-related burnout, leaving me feeling exhausted after 7 mental health days off."
56,Male,India,Sales Associate,10,50,No,4.81,2.47,7.87,6.7,7.3,6.2,6,No,6.37,No,8,60K-80K,4.23,4.94,0,"As a sales associate in India, working 50 hours a week without the convenience of remote work takes a toll on my overall wellbeing, exacerbating my high stress levels and contributing to my increasing burnout. Despite satisfactory career growth prospects, I feel unfulfilled with my job, which likely stems from the low job satisfaction I experience daily due to excessive workload. The lack of support from management and access to mental health resources further worsens my wellbeing, leaving me feeling unwell and disconnected from work."
54,Prefer not to say,USA,Sales Associate,20,55,Yes,5.75,3.97,8.2,3.79,6.9,0.7,49,Yes,2.47,No,7,100K+,1.12,7.1,0,"Feeling burnt out and stressed from a 55-hour workweek as a Sales Associate and an almost non-existent work-life balance, I struggle to make the most of my days, constantly feeling exhausted even after trying to get as much sleep as possible at just 6.9 hours a night. My physical well being has likely suffered as a result, and I worry about how this prolonged exposure to high work demands might be affecting my mental health. The lack of meaningful support from my manager combined with no access to therapy has made it difficult to cope, leading to 7 mental health days off taken in the past."
49,Non-binary,Brazil,Sales Associate,19,45,Hybrid,8.93,7.74,7.12,9.75,6,5.2,5,No,1.66,Yes,8,40K-60K,9.9,4.18,1,"Working as a Sales Associate in Brazil with a 45-hour workweek, I feel exhausted with an 8.93 burnout level and lack adequate sleep, averaging just 6 hours per night. The hybrid remote work setup is slightly beneficial, but I face immense stress and dissatisfaction with my current job, scoring only 7.74 in job satisfaction. Unfortunately, my manager provides minimal support, making it challenging to maintain a healthy work-life balance, which is otherwise well-scored at 9.9, and it affects my overall wellbeing greatly."
31,Male,Brazil,Sales Associate,14,57,No,5.36,8.21,1.38,3.39,5.4,8.8,5,Yes,6.55,No,5,80K-100K,4.86,7.23,0,"As a sales associate in Brazil, working 57 hours a week with a commute time of 5 hours, I often feel overwhelmed with stress levels reaching 1.38 out of 10, making it difficult to maintain a healthy work-life balance. Despite having a manager who provides some level of support, I struggle with sleep deprivation, averaging only 5.4 hours of sleep daily, and have experienced burnout to the point of taking 5 mental health days off. Meanwhile, my job provides some benefits, including a decent salary range of 80-100K, but I lack access to therapy and struggle with productivity, leading to an overall job satisfaction score of 8.21 out of 10."
24,Female,UK,Software Engineer,5,59,No,5.84,1.98,5.38,8.83,7.3,2.9,58,No,4.28,Yes,6,100K+,2.84,9.39,0,"As a software engineer in the UK, I'm constantly feeling exhausted due to long work hours of 59 per week and a stressful work environment that's causing my stress level to peak at 5.38 and burnout level to reach 5.84, resulting in six mental health days off from work. My job satisfaction remains low at 1.98, and although I have access to therapy, the lack of support from my manager and poor work-life balance score of 2.84 is taking a toll on my overall wellbeing. Additionally, a lengthy commute of 58 minutes daily and limited physical activity of 2.9 hours per week only add to my stress and dissatisfaction with my current job."
56,Female,Canada,Software Engineer,19,47,No,5.86,2.86,8.1,5.05,8.3,6.8,116,No,3.02,Yes,0,60K-80K,5.52,6.25,0,"As a Canadian software engineer, I've been working long hours for 19 years and feel exhausted due to high stress levels and burnout, which is severely impacting my overall wellbeing. Despite having access to therapy, I still struggle to find a balance between work and personal life, and the support I receive from my manager is barely adequate. My current situation is taking a toll on my mental and physical health, and I wish there was more flexibility to work remotely or have better stress management resources available."
24,Prefer not to say,UK,Software Engineer,11,42,Hybrid,4.25,7.61,1.46,9.21,6.1,6.7,8,Yes,4.07,Yes,0,100K+,6.86,1.86,0,"As a software engineer in the UK, I feel overwhelmed by the demanding 42-hour workweek, but thankfully, having hybrid remote work options allows me to maintain some balance in my life. Despite this, my high burnout level at 4.25 makes me worry about my overall wellbeing, with long working hours and mediocre manager support adding to my stress. However, my job satisfaction remains relatively high at 7.61, and having access to mental health support and therapy helps mitigate some of these work-related pressures."
